BGiftPrice,Role,Gender,Apprec-7,Grateful-7,AppLevel
14,Giver,Female,1,1,1.0
28,Giver,Female,1,1,1.0
202,Receiver,Female,1,1,1.0
14,Giver,Male,1,1,1.0
47,Giver,Male,1,1,1.0
58,Giver,Female,1,1,1.0
45,Giver,Male,1,1,1.0
7,Giver,Male,1,1,1.0
13,Giver,Female,1,1,1.0
28,Giver,Male,1,1,1.0
104,Giver,Female,1,1,1.0
31,Giver,Female,1,1,1.0
40,Giver,Male,1,1,1.0
61,Giver,Male,1,1,1.0
104,Giver,Female,1,1,1.0
26,Giver,Female,1,1,1.0
16,Giver,Female,1,1,1.0
35,Giver,Female,1,1,1.0
50,Receiver,Female,1,1,1.0
5,Giver,Female,1,1,1.0
53,Giver,Female,1,1,1.0
32,Giver,Male,1,1,1.0
208,Receiver,Male,1,1,1.0
11,Giver,Male,1,1,1.0
18,Giver,Female,1,1,1.0
39,Giver,Female,1,1,1.0
60,Giver,Female,1,1,1.0
136,Receiver,Male,1,2,1.5
20,Giver,Female,1,2,1.5
38,Giver,Male,1,2,1.5
17,Giver,Male,1,2,1.5
156,Receiver,Female,1,2,1.5
20,Giver,Female,1,2,1.5
75,Giver,Male,1,2,1.5
8,Giver,Male,1,2,1.5
44,Giver,Male,1,2,1.5
71,Giver,Female,1,2,1.5
98,Giver,Male,1,2,1.5
39,Giver,Female,1,2,1.5
249,Receiver,Female,1,2,1.5
93,Giver,Female,1,2,1.5
59,Giver,Male,1,2,1.5
72,Giver,Female,1,2,1.5
115,Giver,Male,1,2,1.5
9,Giver,Male,1,2,1.5
145,Receiver,Female,1,2,1.5
135,Giver,Male,1,2,1.5
263,Receiver,Female,1,2,1.5
25,Giver,Female,2,1,1.5
61,Giver,Male,2,1,1.5
51,Giver,Male,2,1,1.5
149,Giver,Female,2,1,1.5
260,Receiver,Female,2,1,1.5
90,Giver,Male,2,1,1.5
57,Giver,Female,2,1,1.5
11,Giver,Female,2,1,1.5
105,Giver,Female,2,1,1.5
19,Giver,Male,2,1,1.5
3,Giver,Male,2,1,1.5
170,Receiver,Female,2,1,1.5
19,Giver,Female,2,1,1.5
9,Giver,Male,2,1,1.5
144,Receiver,Female,2,1,1.5
80,Giver,Female,2,1,1.5
7,Receiver,Female,2,1,1.5
41,Giver,Male,2,1,1.5
119,Receiver,Male,2,1,1.5
133,Receiver,Female,3,1,2.0
22,Giver,Male,2,2,2.0
62,Giver,Male,2,2,2.0
34,Receiver,Male,2,2,2.0
14,Giver,Male,2,2,2.0
14,Giver,Male,3,1,2.0
25,Giver,Female,2,2,2.0
144,Giver,Female,2,2,2.0
44,Giver,Male,2,2,2.0
76,Giver,Male,1,3,2.0
214,Receiver,Male,1,3,2.0
116,Giver,Female,2,2,2.0
66,Giver,Female,2,2,2.0
11,Receiver,Female,2,2,2.0
66,Giver,Female,3,1,2.0
379,Receiver,Male,2,2,2.0
267,Receiver,Female,2,2,2.0
88,Giver,Female,2,2,2.0
113,Giver,Female,2,2,2.0
105,Giver,Male,2,2,2.0
108,Giver,Female,2,2,2.0
523,Receiver,Female,2,2,2.0
161,Receiver,Female,2,2,2.0
182,Giver,Female,3,1,2.0
72,Giver,Female,2,2,2.0
92,Giver,Female,2,3,2.5
84,Receiver,Female,2,3,2.5
62,Giver,Male,2,3,2.5
193,Giver,Male,2,3,2.5
96,Giver,Male,2,3,2.5
300,Receiver,Male,4,1,2.5
104,Giver,Female,2,3,2.5
48,Giver,Female,2,3,2.5
70,Giver,Female,1,4,2.5
13,Receiver,Male,2,3,2.5
85,Giver,Female,2,3,2.5
504,Receiver,Female,2,3,2.5
84,Giver,Female,2,3,2.5
318,Receiver,Male,4,1,2.5
109,Giver,Female,3,2,2.5
279,Giver,Female,3,2,2.5
29,Receiver,Male,3,2,2.5
111,Giver,Female,3,2,2.5
141,Receiver,Female,3,2,2.5
133,Giver,Female,4,1,2.5
40,Giver,Male,3,2,2.5
81,Giver,Female,3,2,2.5
44,Giver,Male,4,1,2.5
187,Receiver,Female,3,2,2.5
22,Giver,Female,3,2,2.5
75,Giver,Male,3,2,2.5
56,Giver,Female,3,3,3.0
2,Giver,Male,3,3,3.0
5,Receiver,Male,4,2,3.0
2,Receiver,Female,3,3,3.0
15,Receiver,Female,3,3,3.0
166,Receiver,Female,4,2,3.0
28,Receiver,Female,3,3,3.0
264,Receiver,Male,3,3,3.0
104,Giver,Male,3,3,3.0
202,Receiver,Female,3,3,3.0
135,Giver,Female,3,3,3.0
101,Giver,Female,1,5,3.0
74,Receiver,Male,3,3,3.0
360,Receiver,Female,3,3,3.0
92,Giver,Female,3,3,3.0
164,Giver,Female,3,3,3.0
146,Giver,Female,2,4,3.0
