cty,hwy
18,29
21,29
20,31
21,30
16,26
18,26
18,27
18,26
16,25
20,28
19,27
15,25
17,25
17,25
15,25
15,24
17,25
16,23
14,20
11,15
14,20
13,17
12,17
16,26
15,23
16,26
15,25
15,24
14,19
11,14
11,15
14,17
19,27
22,30
18,26
18,29
17,26
18,24
17,24
16,22
16,22
17,24
17,24
11,17
15,22
15,21
16,23
16,23
15,19
14,18
13,17
14,17
14,19
14,19
9,12
11,17
11,15
13,17
13,17
9,12
13,17
11,16
13,18
11,15
12,16
9,12
13,17
13,17
12,16
9,12
11,15
11,16
13,17
11,15
11,17
11,17
12,18
14,17
15,19
14,17
13,19
13,19
13,17
14,17
14,17
13,16
13,16
13,17
11,15
13,17
18,26
18,25
17,26
16,24
15,21
15,22
15,23
15,22
14,20
28,33
24,32
25,32
23,29
24,32
26,34
25,36
24,36
21,29
18,26
18,27
21,30
21,31
18,26
18,26
19,28
19,26
19,29
20,28
20,27
17,24
16,24
17,24
17,22
15,19
15,20
14,17
9,12
14,19
13,18
11,14
11,15
12,18
12,18
11,15
11,17
11,16
12,18
14,17
13,19
13,19
13,17
21,29
19,27
23,31
23,32
19,27
19,26
18,26
19,25
19,25
14,17
15,17
14,20
12,18
18,26
16,26
17,27
18,28
16,25
18,25
18,24
20,27
19,25
20,26
18,23
21,26
19,26
19,26
19,26
20,25
20,27
19,25
20,27
15,20
16,20
15,19
15,17
16,20
14,17
21,29
21,27
21,31
21,31
18,26
18,26
19,28
21,27
21,29
21,31
22,31
18,26
18,26
18,27
24,30
24,33
26,35
28,37
26,35
11,15
13,18
15,20
16,20
17,22
15,17
15,19
15,18
16,20
21,29
19,26
21,29
22,29
17,24
33,44
21,29
19,26
22,29
21,29
21,29
21,29
16,23
17,24
35,44
29,41
21,29
19,26
20,28
20,29
21,29
18,29
19,28
21,29
16,26
18,26
17,26
